DATE,CSUSHPINSA
1987-01-01,63.755
1987-02-01,64.155
1987-03-01,64.49
1987-04-01,64.995
1987-05-01,65.569
1987-06-01,66.238
1987-07-01,66.80199999999999
1987-08-01,67.283
1987-09-01,67.637
1987-10-01,67.916
1987-11-01,68.107
1987-12-01,68.359
1988-01-01,68.598
1988-02-01,68.931
1988-03-01,69.33800000000001
1988-04-01,69.8
1988-05-01,70.419
1988-06-01,71.077
1988-07-01,71.695
1988-08-01,72.195
1988-09-01,72.584
1988-10-01,72.833
1988-11-01,73.075
1988-12-01,73.288
1989-01-01,73.624
1989-02-01,73.97399999999999
1989-03-01,74.416
1989-04-01,74.874
1989-05-01,75.303
1989-06-01,75.703
1989-07-01,76.048
1989-08-01,76.279
1989-09-01,76.42699999999999
1989-10-01,76.493
1989-11-01,76.525
1989-12-01,76.499
1990-01-01,76.527
1990-02-01,76.587
1990-03-01,76.79
1990-04-01,77.041
1990-05-01,77.29899999999999
1990-06-01,77.50399999999999
1990-07-01,77.556
1990-08-01,77.473
1990-09-01,77.222
1990-10-01,76.906
1990-11-01,76.375
1990-12-01,75.96600000000001
1991-01-01,75.527
1991-02-01,75.24600000000001
1991-03-01,75.139
1991-04-01,75.313
1991-05-01,75.768
1991-06-01,76.251
1991-07-01,76.508
1991-08-01,76.586
1991-09-01,76.569
1991-10-01,76.28399999999999
1991-11-01,76.032
1991-12-01,75.832
1992-01-01,75.695
1992-02-01,75.65
1992-03-01,75.81
1992-04-01,76.07600000000001
1992-05-01,76.395
1992-06-01,76.6
1992-07-01,76.71
1992-08-01,76.73100000000001
1992-09-01,76.628
1992-10-01,76.59899999999999
1992-11-01,76.58
1992-12-01,76.46600000000001
1993-01-01,76.39699999999999
1993-02-01,76.329
1993-03-01,76.384
1993-04-01,76.661
1993-05-01,77.03
1993-06-01,77.516
1993-07-01,77.884
1993-08-01,78.13
1993-09-01,78.2
1993-10-01,78.176
1993-11-01,78.176
1993-12-01,78.119
1994-01-01,78.203
1994-02-01,78.209
1994-03-01,78.354
1994-04-01,78.708
1994-05-01,79.21600000000001
1994-06-01,79.709
1994-07-01,80.071
1994-08-01,80.324
1994-09-01,80.346
1994-10-01,80.309
1994-11-01,80.17399999999999
1994-12-01,80.084
1995-01-01,80.035
1995-02-01,80.00399999999999
1995-03-01,80.093
1995-04-01,80.385
1995-05-01,80.707
1995-06-01,81.084
1995-07-01,81.42699999999999
1995-08-01,81.669
